Partlist

Exported from TubeScreamer.brd at 8/8/16 7:14 PM

EAGLE Version 7.5.0 Copyright (c) 1988-2015 CadSoft

Assembly variant: 

Part     Value          Package     Library          Position (inch)       Orientation

+9V      +9V(T)         SQUARE      mb_supply        (0.49192913 0.1)      R0
C1       0.022uF        070X030     mb_caps-chicklet (0.13937008 0.33937008) R90
C2       1uF            072X035     mb_caps-box      (1.73031496 0.56535433) R90
C3       0.047uF        070X030     mb_caps-chicklet (0.57716535 0.7492126) R270
C4       51pF           050X030_025 mb_caps-ceramic  (2.26712598 0.46102362) R0
C5       0.22uF         072X035     mb_caps-box      (1.32795276 0.93779528) R180
C7       47uF           063_025     mb_caps-electro  (0.53858268 1.04606299) R270
C8       1uF            072X035     mb_caps-box      (1.85511811 0.96181102) R270
C9       0.22uF         072X035     mb_caps-box      (1.67047244 0.96614173) R90
C10      0.1uF          072X035     mb_caps-box      (1.19094488 0.66496063) R90
C11      10uF           063_025     mb_caps-electro  (2.55472441 0.35708661) R270
C12      100uF          080_035     mb_caps-electro  (1.23937008 0.19370079) R270
D1       1N914          DO35-3      mb_diodes        (2.93700787 0.43188976) R270
D2       1N914          DO35-3      mb_diodes        (3.04291339 0.43267717) R90
D4       LED3MM         LED3MM      mb_diodes        (1.57874016 0.1)      R0
D5       1N914          DO35-3      mb_diodes        (0.42283465 0.38818898) R90
D6       LED3MM         LED3MM      mb_diodes        (2.77795276 0.40866142) R0
D7       LED3MM         LED3MM      mb_diodes        (2.69448819 0.55275591) R180
DRIVE    A500K          16MM        mb_pots          (2.3492126 1.26496063) R180
GD2      GND(T)         SQUARE      mb_supply        (1.175 1.325)         R0
GND      GND(T)         SQUARE      mb_supply        (0.31751969 0.1)      R0
IC31     JRC4558D       DIL08       mb_ics           (2.33425197 0.85433071) R90
IN       IN(T)          SQUARE      mb_supply        (0.13937008 0.1)      R0
LED      3mm            SQUARE      mb_supply        (1.74311024 0.1)      R0
OUT      OUT(T)         SQUARE      mb_supply        (2.98267717 0.09015748) R0
Q1       2N4401         TO92-       mb_trans         (0.65669291 0.36732283) R270
Q2       2N4401         TO92-       mb_trans         (1.69192913 0.28051181) R180
R1       1k             R0207/3     mb_resistors     (0.29409449 0.64173228) R0
R2       510k           R0207/3     mb_resistors     (0.89527559 0.9492126) R90
R3       10k            R0207/3     mb_resistors     (1.88267717 0.57519685) R270
R5       10k            R0207/3     mb_resistors     (1.60393701 0.60590551) R90
R6       4k7            R0207/3     mb_resistors     (0.7511811 0.95)      R270
R7       51k            R0207/3     mb_resistors     (2.68976378 0.87007874) R90
R8       1k             R0207/3     mb_resistors     (2.31141732 1.12913386) R180
R9       10k            R0207/3     mb_resistors     (1.01496063 0.48661417) R90
R10      10k            R0207/3     mb_resistors     (0.88031496 0.48661417) R90
R11      220R           R0207/3     mb_resistors     (1.48582677 0.60866142) R270
R12      511k           R0207/3     mb_resistors     (1.36456693 0.5992126) R270
R13      10k            R0207/3     mb_resistors     (2.64330709 0.16889764) R180
R14      10k            R0207/3     mb_resistors     (2.20905512 0.3023622) R180
R15      100R           R0207/3     mb_resistors     (2.21732283 0.16850394) R180
R16      10k            R0207/3     mb_resistors     (1.01653543 0.9476378) R90
R17      1k             R0207/3     mb_resistors     (2.00472441 0.95787402) R270
R18      1k             R0207/3     mb_resistors     (1.32480315 1.09330709) R180
R22      1M5            R0207/3     mb_resistors     (0.27952756 0.38937008) R270
R23      4k7            R0207/3     mb_resistors     (0.86033465 0.10501969) R0
SW1      DIODES         M9040P      mb_switches      (2.89685039 1.04783465) R180
SW2      FAT            M9040P      mb_switches      (0.25 1.05)           R180
TONE     W20K           16MM        mb_pots          (1.58149606 1.26653543) R180
VOLUME   A100K          16MM        mb_pots          (0.79055118 1.26141732) R180
